Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Florianopolis,-27.67,-48.55,-3,7,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,9,12,32.7,27.7,25.8,100.5,0.021724862,69,1.106,88.3,3,10,10,1362,490,52,53,438
1,9,13,33.5,27.5,25.3,100.5,0.021014003,63,1.105,87.3,0,0,10,1388,500,53,54,446
1,9,14,33.5,27.5,25.3,100.5,0.021014003,63,1.105,87.3,2,30,10,1335,481,51,56,429
1,9,15,35.8,26.0,22.2,100.4,0.017389815,46,1.102,80.4,0,0,10,1208,435,47,58,388
1,9,16,34.0,27.5,25.1,100.4,0.020826193,61,1.102,87.4,5,180,10,1015,365,39,60,326
1,9,17,27.0,24.5,23.3,100.6,0.018539437,82,1.134,74.3,10,270,10,769,277,30,60,247
1,9,18,24.5,24.0,23.5,100.6,0.018789289,96,1.143,72.3,3,330,10,487,175,19,49,157
1,9,19,24.5,24.0,23.5,100.5,0.018808767,96,1.142,72.4,2,20,10,189,68,7,9,61
1,9,20,24.5,24.0,23.5,100.6,0.018789289,96,1.143,72.3,0,0,10,3,1,0,0,1
1,9,21,24.6,24.1,23.6,100.7,0.018887597,96,1.144,72.7,0,0,10,0,0,0,0,0
1,9,22,24.5,24.0,23.5,100.7,0.018769852,96,1.144,72.3,3,330,10,0,0,0,0,0
1,9,23,24.4,23.8,23.2,100.7,0.018494073,95,1.145,71.5,2,340,10,0,0,0,0,0
1,9,24,24.0,23.5,23.0,100.8,0.01817215,96,1.148,70.2,0,0,10,0,0,0,0,0
1,10,1,24.0,23.0,22.3,100.8,0.017399138,92,1.150,68.3,0,0,10,0,0,0,0,0
1,10,2,24.0,23.0,22.3,100.8,0.017399138,92,1.150,68.3,0,0,10,0,0,0,0,0
1,10,3,24.0,23.0,22.3,100.8,0.017399138,92,1.150,68.3,0,0,8,0,0,0,0,0
1,10,4,23.8,22.8,22.1,100.8,0.017178747,92,1.151,67.5,3,130,8,0,0,0,0,0
1,10,5,24.0,22.5,21.6,100.8,0.016642509,88,1.151,66.3,3,120,8,0,0,0,0,0
